Cash,GNI,sca_cpi,Country
18.61,38870,2.914301478,JPN
14.65,57860,2.914301478,HKG
12.51,6020,11.02331564,IND
11.37,15210,11.02331564,THAI
11.14,61930,1.849069784,CHE
9.34,14160,11.46756433,CHN
9,23790,16.1245134,RUS
8.46,81190,1.934516253,SGP
7.38,56430,2.804720577,US
6.79,13520,11.46756433,COL
5.76,17150,12.4322183,MEX
5.66,34940,4.825686761,ISR
5.41,34700,5.739933189,KOR
4.7,19360,9.457869291,TUR
4.15,44570,2.492621943,AUS
4.07,40550,2.297399693,UK
4.07,10680,11.93649336,IDN
3.74,43970,2.111585993,CAN
3.64,21740,3.509171279,CHL
3.44,15020,11.02331564,BRA
3.42,12830,8.781880965,ZAF
3.28,47810,1.450006871,DNK
2.29,35680,1.684002613,NZL
2.09,17250,14.10528926,ARG
1.8,47390,1.604251368,SWE
1.53,5800,18.60971152,NGA
1.45,64590,1.765587723,NOR
